gene_id	gene_biotype	gene_name
ENSG00000243485	lincRNA	MIR1302-2HG
ENSG00000237613	lincRNA	FAM138A
ENSG00000186092	protein_coding	OR4F5
ENSG00000238009	lincRNA	AL627309.1
ENSG00000239945	lincRNA	AL627309.3
ENSG00000239906	antisense	AL627309.2
ENSG00000241599	lincRNA	AL627309.4
ENSG00000236601	lincRNA	AL732372.1
ENSG00000284733	protein_coding	OR4F29
ENSG00000235146	lincRNA	AC114498.1
ENSG00000284662	protein_coding	OR4F16
ENSG00000229905	antisense	AL669831.2
ENSG00000237491	lincRNA	AL669831.5
ENSG00000177757	lincRNA	FAM87B
ENSG00000225880	lincRNA	LINC00115
ENSG00000230368	lincRNA	FAM41C
ENSG00000272438	lincRNA	AL645608.7
ENSG00000230699	lincRNA	AL645608.3
ENSG00000241180	lincRNA	AL645608.5
ENSG00000223764	lincRNA	AL645608.1
ENSG00000187634	protein_coding	SAMD11
ENSG00000188976	protein_coding	NOC2L
ENSG00000187961	protein_coding	KLHL17
ENSG00000187583	protein_coding	PLEKHN1
ENSG00000187642	protein_coding	PERM1
ENSG00000272512	lincRNA	AL645608.8
ENSG00000188290	protein_coding	HES4
ENSG00000187608	protein_coding	ISG15
ENSG00000224969	antisense	AL645608.2
ENSG00000188157	protein_coding	AGRN
ENSG00000273443	lincRNA	AL645608.9
ENSG00000237330	protein_coding	RNF223
ENSG00000131591	protein_coding	C1orf159
ENSG00000223823	lincRNA	LINC01342
ENSG00000272141	lincRNA	AL390719.2
ENSG00000205231	antisense	TTLL10-AS1
ENSG00000162571	protein_coding	TTLL10
ENSG00000186891	protein_coding	TNFRSF18
ENSG00000186827	protein_coding	TNFRSF4
ENSG00000078808	protein_coding	SDF4
ENSG00000176022	protein_coding	B3GALT6
ENSG00000184163	protein_coding	C1QTNF12
ENSG00000260179	lincRNA	AL162741.1
ENSG00000160087	protein_coding	UBE2J2
ENSG00000230415	lincRNA	LINC01786
ENSG00000162572	protein_coding	SCNN1D
ENSG00000131584	protein_coding	ACAP3
ENSG00000169972	protein_coding	PUSL1
ENSG00000127054	protein_coding	INTS11
ENSG00000224051	protein_coding	CPTP
ENSG00000169962	protein_coding	TAS1R3
ENSG00000107404	protein_coding	DVL1
ENSG00000162576	protein_coding	MXRA8
ENSG00000175756	protein_coding	AURKAIP1
ENSG00000221978	protein_coding	CCNL2
ENSG00000242485	protein_coding	MRPL20
ENSG00000272455	lincRNA	AL391244.3
ENSG00000235098	protein_coding	ANKRD65
ENSG00000225905	antisense	AL391244.2
ENSG00000205116	protein_coding	TMEM88B
ENSG00000225285	lincRNA	LINC01770
ENSG00000179403	protein_coding	VWA1
ENSG00000215915	protein_coding	ATAD3C
ENSG00000160072	protein_coding	ATAD3B
ENSG00000197785	protein_coding	ATAD3A
ENSG00000205090	protein_coding	TMEM240
ENSG00000160075	protein_coding	SSU72
ENSG00000215014	lincRNA	AL645728.1
ENSG00000228594	protein_coding	FNDC10
ENSG00000272106	antisense	AL691432.2
ENSG00000197530	protein_coding	MIB2
ENSG00000189409	protein_coding	MMP23B
ENSG00000248333	protein_coding	CDK11B
ENSG00000272004	antisense	FO704657.1
ENSG00000189339	protein_coding	SLC35E2B
ENSG00000008128	protein_coding	CDK11A
ENSG00000215790	protein_coding	SLC35E2A
ENSG00000008130	protein_coding	NADK
ENSG00000078369	protein_coding	GNB1
ENSG00000231050	antisense	AL109917.1
ENSG00000169885	protein_coding	CALML6
ENSG00000178821	protein_coding	TMEM52
ENSG00000142609	protein_coding	CFAP74
ENSG00000233542	antisense	AL391845.2
ENSG00000187730	protein_coding	GABRD
ENSG00000226969	antisense	AL391845.1
ENSG00000067606	protein_coding	PRKCZ
ENSG00000271806	antisense	AL590822.2
ENSG00000182873	antisense	PRKCZ-AS1
ENSG00000162585	protein_coding	FAAP20
ENSG00000234396	lincRNA	AL590822.1
ENSG00000157933	protein_coding	SKI
ENSG00000116151	protein_coding	MORN1
ENSG00000157916	protein_coding	RER1
ENSG00000157911	protein_coding	PEX10
ENSG00000149527	protein_coding	PLCH2
ENSG00000224387	antisense	AL139246.1
ENSG00000229393	antisense	AL139246.4
ENSG00000157881	protein_coding	PANK4
ENSG00000197921	protein_coding	HES5
ENSG00000272449	lincRNA	AL139246.5
ENSG00000238164	antisense	TNFRSF14-AS1
ENSG00000157873	protein_coding	TNFRSF14
ENSG00000228037	lincRNA	AL139246.3
ENSG00000157870	protein_coding	FAM213B
ENSG00000142606	protein_coding	MMEL1
ENSG00000237058	antisense	AL831784.1
ENSG00000215912	protein_coding	TTC34
ENSG00000283259	antisense	AC242022.1
ENSG00000233234	lincRNA	AL592464.2
ENSG00000231630	lincRNA	AL592464.1
ENSG00000284745	lincRNA	AL589702.1
ENSG00000169717	protein_coding	ACTRT2
ENSG00000177133	antisense	LINC00982
ENSG00000142611	protein_coding	PRDM16
ENSG00000226286	antisense	AL008733.1
ENSG00000272235	lincRNA	AL590438.1
ENSG00000130762	protein_coding	ARHGEF16
ENSG00000272088	lincRNA	AL512413.1
ENSG00000162591	protein_coding	MEGF6
ENSG00000238260	antisense	AL513320.1
ENSG00000158109	protein_coding	TPRG1L
ENSG00000116213	protein_coding	WRAP73
ENSG00000078900	protein_coding	TP73
ENSG00000227589	antisense	AL136528.1
ENSG00000235131	antisense	AL136528.2
ENSG00000162592	protein_coding	CCDC27
ENSG00000235169	protein_coding	SMIM1
ENSG00000130764	protein_coding	LRRC47
ENSG00000272153	antisense	AL365330.1
ENSG00000116198	protein_coding	CEP104
ENSG00000169598	protein_coding	DFFB
ENSG00000198912	protein_coding	C1orf174
ENSG00000236423	lincRNA	LINC01134
ENSG00000233304	lincRNA	LINC01346
ENSG00000226374	lincRNA	LINC01345
ENSG00000284668	lincRNA	AL805961.1
ENSG00000284703	lincRNA	AL805961.2
ENSG00000235054	lincRNA	LINC01777
ENSG00000284694	lincRNA	AL355602.1
ENSG00000227169	lincRNA	Z98747.1
ENSG00000232596	lincRNA	LINC01646
ENSG00000196581	protein_coding	AJAP1
ENSG00000284739	lincRNA	BX005132.2
ENSG00000284674	lincRNA	BX005132.1
ENSG00000231510	lincRNA	AL691497.1
ENSG00000284616	lincRNA	AL139823.1
ENSG00000284692	lincRNA	Z98259.3
ENSG00000284666	lincRNA	Z98259.2
ENSG00000260972	lincRNA	Z98259.1
ENSG00000236948	lincRNA	AL365255.1
ENSG00000131697	protein_coding	NPHP4
ENSG00000069424	protein_coding	KCNAB2
ENSG00000116254	protein_coding	CHD5
ENSG00000116251	protein_coding	RPL22
ENSG00000226944	antisense	AL031847.1
ENSG00000158286	protein_coding	RNF207
ENSG00000116237	protein_coding	ICMT
ENSG00000225077	lincRNA	LINC00337
ENSG00000173673	protein_coding	HES3
ENSG00000158292	protein_coding	GPR153
ENSG00000097021	protein_coding	ACOT7
ENSG00000271746	antisense	AL031848.2
ENSG00000069812	protein_coding	HES2
ENSG00000187017	protein_coding	ESPN
ENSG00000231868	antisense	AL031848.1
ENSG00000215788	protein_coding	TNFRSF25
ENSG00000171680	protein_coding	PLEKHG5
